severity,cc_code,period,area,message,action
action,1412000006,"202604,202605,202606,202607,202608,202609,202610,202611,202612,202701,202702,202703",manual_event_driver,Chưa có dòng sự kiện thủ công nào cho các số liệu không thể suy luận.,"Nếu có JP/VN bus, quà không đi du lịch, kỷ niệm 10 năm, company anniversary, VISA/Passport row khác 137..., hãy nhập vào event_drivers_manual.csv."
action,1412000005,202604,headcount_event_delta,"Missing complete monthly headcount driver for event-delta allocation: cc=1412000005, month=202604, previous_month=202603, category=headcount_all, missing=current,previous",Provide monthly headcount for both the event month and previous month before using event-delta allocation.
action,1412000062,202604,headcount_event_delta,"Missing complete monthly headcount driver for event-delta allocation: cc=1412000062, month=202604, previous_month=202603, category=headcount_all, missing=current,previous",Provide monthly headcount for both the event month and previous month before using event-delta allocation.
action,1412000034,202604,headcount_event_delta,"Missing complete monthly headcount driver for event-delta allocation: cc=1412000034, month=202604, previous_month=202603, category=headcount_all, missing=current,previous",Provide monthly headcount for both the event month and previous month before using event-delta allocation.
action,1412000048,202604,headcount_event_delta,"Missing complete monthly headcount driver for event-delta allocation: cc=1412000048, month=202604, previous_month=202603, category=headcount_all, missing=current,previous",Provide monthly headcount for both the event month and previous month before using event-delta allocation.
action,1412000055,202604,headcount_event_delta,"Missing complete monthly headcount driver for event-delta allocation: cc=1412000055, month=202604, previous_month=202603, category=headcount_all, missing=current,previous",Provide monthly headcount for both the event month and previous month before using event-delta allocation.
action,1412000050,202604,headcount_event_delta,"Missing complete monthly headcount driver for event-delta allocation: cc=1412000050, month=202604, previous_month=202603, category=headcount_all, missing=current,previous",Provide monthly headcount for both the event month and previous month before using event-delta allocation.
action,1412000077,202604,headcount_event_delta,"Missing complete monthly headcount driver for event-delta allocation: cc=1412000077, month=202604, previous_month=202603, category=headcount_all, missing=current,previous",Provide monthly headcount for both the event month and previous month before using event-delta allocation.
action,1412000053,202604,headcount_event_delta,"Missing complete monthly headcount driver for event-delta allocation: cc=1412000053, month=202604, previous_month=202603, category=headcount_all, missing=current,previous",Provide monthly headcount for both the event month and previous month before using event-delta allocation.
action,1412000008,202604,headcount_event_delta,"Missing complete monthly headcount driver for event-delta allocation: cc=1412000008, month=202604, previous_month=202603, category=headcount_all, missing=current,previous",Provide monthly headcount for both the event month and previous month before using event-delta allocation.
action,1412000010,202604,headcount_event_delta,"Missing complete monthly headcount driver for event-delta allocation: cc=1412000010, month=202604, previous_month=202603, category=headcount_all, missing=current,previous",Provide monthly headcount for both the event month and previous month before using event-delta allocation.
action,1412000054,202604,headcount_event_delta,"Missing complete monthly headcount driver for event-delta allocation: cc=1412000054, month=202604, previous_month=202603, category=headcount_all, missing=current,previous",Provide monthly headcount for both the event month and previous month before using event-delta allocation.
action,1412000036,202604,headcount_event_delta,"Missing complete monthly headcount driver for event-delta allocation: cc=1412000036, month=202604, previous_month=202603, category=headcount_all, missing=current,previous",Provide monthly headcount for both the event month and previous month before using event-delta allocation.
action,1412000089,202604,headcount_event_delta,"Missing complete monthly headcount driver for event-delta allocation: cc=1412000089, month=202604, previous_month=202603, category=headcount_all, missing=current,previous",Provide monthly headcount for both the event month and previous month before using event-delta allocation.
action,1412000013,202604,headcount_event_delta,"Missing complete monthly headcount driver for event-delta allocation: cc=1412000013, month=202604, previous_month=202603, category=headcount_all, missing=current,previous",Provide monthly headcount for both the event month and previous month before using event-delta allocation.
